x,y,u
6.523438e-01,3.906250e-03,1.089284e-02
6.562500e-01,3.906250e-03,1.082267e-02
6.601562e-01,3.906250e-03,1.075086e-02
6.640625e-01,3.906250e-03,1.067744e-02
6.679688e-01,3.906250e-03,1.060241e-02
6.718750e-01,3.906250e-03,1.052578e-02
6.757812e-01,3.906250e-03,1.044757e-02
6.796875e-01,3.906250e-03,1.036778e-02
6.835938e-01,3.906250e-03,1.028644e-02
6.875000e-01,3.906250e-03,1.020354e-02
6.914062e-01,3.906250e-03,1.011911e-02
6.953125e-01,3.906250e-03,1.003315e-02
6.992188e-01,3.906250e-03,9.945681e-03
7.031250e-01,3.906250e-03,9.856716e-03
7.070312e-01,3.906250e-03,9.766265e-03
7.109375e-01,3.906250e-03,9.674345e-03
7.148438e-01,3.906250e-03,9.580967e-03
7.187500e-01,3.906250e-03,9.486146e-03
7.226562e-01,3.906250e-03,9.389897e-03
7.265625e-01,3.906250e-03,9.292234e-03
7.304688e-01,3.906250e-03,9.193171e-03
7.343750e-01,3.906250e-03,9.092724e-03
7.382812e-01,3.906250e-03,8.990908e-03
7.421875e-01,3.906250e-03,8.887737e-03
7.460938e-01,3.906250e-03,8.783228e-03
7.500000e-01,3.906250e-03,8.677397e-03
7.539062e-01,3.906250e-03,8.570258e-03
7.578125e-01,3.906250e-03,8.461829e-03
7.617188e-01,3.906250e-03,8.352126e-03
7.656250e-01,3.906250e-03,8.241165e-03
7.695312e-01,3.906250e-03,8.128962e-03
7.734375e-01,3.906250e-03,8.015536e-03
7.773438e-01,3.906250e-03,7.900902e-03
7.812500e-01,3.906250e-03,7.785079e-03
7.851562e-01,3.906250e-03,7.668083e-03
7.890625e-01,3.906250e-03,7.549933e-03
7.929688e-01,3.906250e-03,7.430645e-03
7.968750e-01,3.906250e-03,7.310238e-03
8.007812e-01,3.906250e-03,7.188731e-03
8.046875e-01,3.906250e-03,7.066141e-03
8.085938e-01,3.906250e-03,6.942486e-03
8.125000e-01,3.906250e-03,6.817787e-03
8.164062e-01,3.906250e-03,6.692060e-03
8.203125e-01,3.906250e-03,6.565326e-03
8.242188e-01,3.906250e-03,6.437603e-03
8.281250e-01,3.906250e-03,6.308910e-03
8.320312e-01,3.906250e-03,6.179268e-03
8.359375e-01,3.906250e-03,6.048695e-03
8.398438e-01,3.906250e-03,5.917211e-03
8.437500e-01,3.906250e-03,5.784836e-03
8.476562e-01,3.906250e-03,5.651589e-03
8.515625e-01,3.906250e-03,5.517492e-03
8.554688e-01,3.906250e-03,5.382563e-03
8.593750e-01,3.906250e-03,5.246824e-03
8.632812e-01,3.906250e-03,5.110295e-03
8.671875e-01,3.906250e-03,4.972997e-03
8.710938e-01,3.906250e-03,4.834949e-03
8.750000e-01,3.906250e-03,4.696173e-03
8.789062e-01,3.906250e-03,4.556690e-03
8.828125e-01,3.906250e-03,4.416521e-03
8.867188e-01,3.906250e-03,4.275687e-03
8.906250e-01,3.906250e-03,4.134208e-03
8.945312e-01,3.906250e-03,3.992108e-03
8.984375e-01,3.906250e-03,3.849406e-03
9.023438e-01,3.906250e-03,3.706124e-03
9.062500e-01,3.906250e-03,3.562284e-03
9.101562e-01,3.906250e-03,3.417908e-03
9.140625e-01,3.906250e-03,3.273017e-03
9.179688e-01,3.906250e-03,3.127633e-03
9.218750e-01,3.906250e-03,2.981778e-03
9.257812e-01,3.906250e-03,2.835474e-03
9.296875e-01,3.906250e-03,2.688743e-03
9.335938e-01,3.906250e-03,2.541607e-03
9.375000e-01,3.906250e-03,2.394088e-03
9.414062e-01,3.906250e-03,2.246209e-03
9.453125e-01,3.906250e-03,2.097992e-03
9.492188e-01,3.906250e-03,1.949458e-03
9.531250e-01,3.906250e-03,1.800631e-03
9.570312e-01,3.906250e-03,1.651533e-03
9.609375e-01,3.906250e-03,1.502186e-03
9.648438e-01,3.906250e-03,1.352613e-03
9.687500e-01,3.906250e-03,1.202836e-03
9.726562e-01,3.906250e-03,1.052878e-03
9.765625e-01,3.906250e-03,9.027617e-04
9.804688e-01,3.906250e-03,7.525092e-04
9.843750e-01,3.906250e-03,6.021434e-04
9.882812e-01,3.906250e-03,4.516869e-04
9.921875e-01,3.906250e-03,3.011624e-04
9.960938e-01,3.906250e-03,1.505925e-04
3.906250e-03,7.812500e-03,3.011624e-04
7.812500e-03,7.812500e-03,6.022794e-04
1.171875e-02,7.812500e-03,9.033058e-04
1.562500e-02,7.812500e-03,1.204196e-03
1.953125e-02,7.812500e-03,1.504905e-03
2.343750e-02,7.812500e-03,1.805387e-03
2.734375e-02,7.812500e-03,2.105598e-03
3.125000e-02,7.812500e-03,2.405491e-03
3.515625e-02,7.812500e-03,2.705022e-03
3.906250e-02,7.812500e-03,3.004146e-03
4.296875e-02,7.812500e-03,3.302817e-03
4.687500e-02,7.812500e-03,3.600991e-03
5.078125e-02,7.812500e-03,3.898623e-03
5.468750e-02,7.812500e-03,4.195667e-03
5.859375e-02,7.812500e-03,4.492080e-03
6.250000e-02,7.812500e-03,4.787816e-03
6.640625e-02,7.812500e-03,5.082831e-03
7.031250e-02,7.812500e-03,5.377081e-03
7.421875e-02,7.812500e-03,5.670521e-03
